C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0001.jpg	405	540	5.84963e+09	0.17523	13486323829
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0002.png	1200	1600	5.57071e+09	0.0194443	188302588374
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0003.jpg	1334	750	3.14681e+10	0.0887416	797097646995
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0004.png	573	518	1.55896e+10	0.210715	16497772003
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0005.jpg	374	550	2.07922e+09	0.111076	153333157210
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0006.jpg	526	526	4.39992e+09	0.120094	20078951529
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0007.jpg	548	630	1.71614e+10	0.190046	203841262029
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0008.jpg	571	716	2.0535e+10	0.175527	251893156589
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0009.jpg	461	461	1.39769e+09	0.0881357	169621165147
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0010.jpg	366	550	1.7723e+09	0.104794	152884164638
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0011.jpg	850	742	1.72125e+10	0.104136	479945245918
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0012.jpg	774	666	3.21093e+10	0.174049	318983389907
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0013.jpg	598	906	1.40516e+10	0.109544	405705456238
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0014.jpg	430	1134	1.57788e+10	0.129006	344643422683
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0015.jpg	554	712	1.34953e+10	0.147488	263954283219
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0016.jpg	734	1460	3.89261e+10	0.0921456	845148741605
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0017.jpg	1152	1536	6.19062e+10	0.0703576	1489344839834
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0018.jpg	674	974	3.49945e+10	0.142656	445615404059
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0019.jpg	1920	1080	3.90292e+10	0.0476685	18681451047868
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0020.jpg	1334	750	1.73359e+10	0.0658648	853510832279
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0021.jpg	720	1050	1.32471e+10	0.0762068	625281641318
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0022.jpg	843	843	3.05004e+10	0.123019	511273524335
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0023.jpg	800	1200	3.06703e+10	0.0913055	759003823524
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0024.jpg	2000	2000	2.45601e+11	0.0619777	34522972703300
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0025.jpg	1638	1142	6.0641e+10	0.0658693	15957541072625
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0026.jpg	2000	2000	2.16635e+11	0.0582082	34915173116143
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0027.jpg	1260	1554	6.37636e+10	0.0645259	16770841547525
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0028.jpg	853	1280	5.5579e+10	0.108064	821206779047
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0029.jpg	1920	1080	5.65484e+10	0.0573791	18145071186299
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0030.jpg	1080	1920	8.67313e+10	0.0710619	17416511199512
C:\Users\jwryu\Google Drive\RUG\2018\AlphaTree\imgdata\Colour\Colour_0031.jpg	987	1459	4.2117e+10	0.0713149	12085921078698
